"Adrian, MI",MI,243267.0
"Gaffney, SC",SC,243242.0
"Bloomington, IL",IL,243133.0
"Ardmore, OK",OK,242483.0
"Eufaula, AL",AL,241667.0
"Florence, SC",SC,241300.0
"Sidney, OH",OH,240967.0
"Aberdeen, SD",SD,240900.0
"Texarkana, TX",TX,240833.0
"North Platte, NE",NE,240817.0
"Garden City, KS",KS,239983.0
"Scottsbluff, NE",NE,239817.0
"Maysville, KY",KY,239617.0
"Vermillion, SD",SD,239500.0
"Clovis, NM",NM,239300.0
"Enterprise, AL",AL,238717.0
"Bellefontaine, OH",OH,238450.0
"Mobile, AL",AL,238267.0
"Wilson, NC",NC,238267.0
"Miami, OK",OK,238133.0
"Columbus, MS",MS,238083.0
"Glasgow, KY",KY,238083.0
"Coshocton, OH",OH,238000.0
"Evansville, IN",IN,237233.0
"Marietta, OH",OH,236633.0
"Shelby, NC",NC,236533.0
"Owensboro, KY",KY,235750.0
"Kingsville, TX",TX,235650.0
"Urbana, OH",OH,235583.0
"Vineland, NJ",NJ,235333.0
"Roswell, NM",NM,234983.0
"Williamsport, PA",PA,234933.0
"Hillsdale, MI",MI,234833.0
"Madison, IN",IN,234650.0
"Hastings, NE",NE,234633.0
"Cadillac, MI",MI,234567.0
"Lexington, NE",NE,234500.0
"Point Pleasant, WV",OH,233883.0
"Storm Lake, IA",IA,233300.0
"Grants, NM",NM,233200.0
"Muskegon, MI",MI,233150.0
"Sturgis, MI",MI,232929.0
"McAlester, OK",OK,232483.0
"Minot, ND",ND,232467.0
"Scranton, PA",PA,231333.0
"Ottawa, KS",KS,231300.0
"New Ulm, MN",MN,231017.0
"Orangeburg, SC",SC,230467.0
"Houma, LA",LA,229967.0
"Crawfordsville, IN",IN,229633.0
"Levelland, TX",TX,229600.0
"Jasper, IN",IN,229217.0
"Seneca Falls, NY",NY,228867.0
"Washington, IN",IN,228550.0
"Eau Claire, WI",WI,228267.0
"Columbus, GA",GA,228167.0
"Gadsden, AL",AL,228133.0
"Syracuse, NY",NY,227950.0
"Americus, GA",GA,227667.0
"Kinston, NC",NC,227650.0
"Frankfort, IN",IN,227500.0
"Monroe, LA",LA,227333.0
"Russellville, AR",AR,227000.0
"Bloomsburg, PA",PA,226600.0
"Zanesville, OH",OH,226417.0
"Champaign, IL",IL,226217.0
"Lake Charles, LA",LA,226000.0
"Auburn, IN",IN,225761.0
"Brownsville, TN",TN,225633.0
"St. Louis, MO",MO,224967.0
"Pittsburgh, PA",PA,224967.0
"South Bend, IN",IN,224900.0
"Wichita Falls, TX",TX,224867.0
"Gloversville, NY",NY,223933.0
"Jackson, OH",OH,223800.0
"Fort Leonard Wood, MO",MO,223333.0
"Rocky Mount, NC",NC,223133.0
"Wapakoneta, OH",OH,223133.0
"Searcy, AR",AR,222833.0
"Austin, MN",MN,222483.0
"Portales, NM",NM,222483.0
"Jackson, MI",MI,222300.0
"Paducah, KY",KY,221942.0
"Wilmington, OH",OH,221633.0
"Waycross, GA",GA,221600.0
"Montgomery, AL",AL,221567.0
"Hays, KS",KS,221333.0
"Pecos, TX",TX,221333.0
"Cleveland, OH",OH,221233.0
"Jackson, MS",MS,221150.0
"Rio Grande City, TX",TX,220467.0
"Celina, OH",OH,220467.0
"Shreveport, LA",LA,220150.0
"New Philadelphia, OH",OH,219900.0
"Malone, NY",NY,219817.0
"London, KY",KY,219650.0
"Port Lavaca, TX",TX,219633.0
"Selinsgrove, PA",PA,219473.0
"Fort Polk South, LA",LA,219000.0
"Magnolia, AR",AR,218833.0
"Dayton, OH",OH,218467.0
"Alice, TX",TX,218333.0
"Cape Girardeau, MO",MO,218283.0
"Lansing, MI",MI,217750.0
"Raymondville, TX",TX,216667.0
"Tupelo, MS",MS,216417.0
"Cedar Rapids, IA",IA,216300.0
"Auburn, NY",NY,216133.0
"Bedford, IN",IN,216100.0
"Liberal, KS",KS,215667.0
"Bartlesville, OK",OK,215000.0
"Seymour, IN",IN,214933.0
"Thomaston, GA",GA,214867.0
"Beaumont, TX",TX,214583.0
"Paragould, AR",AR,214583.0
"Mason City, IA",IA,214317.0
"Summerville, GA",GA,214150.0
"Marinette, WI",WI,214117.0
"Huntingdon, PA",PA,214100.0
"Platteville, WI",WI,213867.0
"Escanaba, MI",MI,213283.0
"Watertown, NY",NY,213150.0
"Natchez, MS",LA,212900.0
"Bluffton, IN",IN,211567.0
"Huron, SD",SD,211250.0
"Rochester, NY",NY,211233.0
"Troy, AL",AL,211100.0
"Malvern, AR",AR,210800.0
"Alexandria, LA",LA,210250.0
"Washington Court House, OH",OH,210100.0
"Akron, OH",OH,210000.0
"Dothan, AL",AL,209967.0
"Scottsburg, IN",IN,209800.0
"Emporia, KS",KS,209750.0
"Cortland, NY",NY,208967.0
"Amsterdam, NY",NY,208667.0
"Beeville, TX",TX,207983.0
"Anniston, AL",AL,207820.0
"Farmington, MO",MO,207417.0
"Meridian, MS",MS,207133.0
"Wisconsin Rapids, WI",WI,207083.0
"Manitowoc, WI",WI,206633.0
"Mayfield, KY",KY,206483.0
"Toledo, OH",OH,204917.0
"Alpena, MI",MI,204633.0
"Effingham, IL",IL,204450.0
"North Vernon, IN",IN,203950.0
"Corinth, MS",MS,203300.0
"Talladega, AL",AL,202918.0
"Albert Lea, MN",MN,201667.0
"Waterloo, IA",IA,201567.0
"Batavia, NY",NY,201433.0
"Sault Ste. Marie, MI",MI,201317.0
"Lewistown, PA",PA,199967.0
"McPherson, KS",KS,199933.0
"Utica, NY",NY,199900.0
"Dyersburg, TN",TN,199783.0
"Maryville, MO",MO,199600.0
"Hobbs, NM",NM,199483.0
"Guymon, OK",OK,199417.0
"Deming, NM",NM,198967.0
"Brookhaven, MS",MS,198833.0
"Madisonville, KY",KY,198683.0
"Danville, VA",VA,198483.0
"Albany, GA",GA,197950.0
"Bogalusa, LA",LA,197902.0
"Defiance, OH",OH,197467.0
"Marshall, MN",MN,197083.0
"Rochelle, IL",IL,196633.0
"Pearsall, TX",TX,196617.0
"Canton, OH",OH,196600.0
"Erie, PA",PA,196567.0
"Fairmont, MN",MN,196533.0
"Kankakee, IL",IL,196467.0
"Laurel, MS",MS,195750.0
"Weatherford, OK",OK,194933.0
"Cleveland, MS",MS,194700.0
"DeRidder, LA",LA,194650.0
"Parkersburg, WV",WV,194383.0
"Mount Sterling, KY",KY,194333.0
